ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa03030	DNA replication	33	0.722412879330055	2.3617613635602	0.0024390243902439	0.0323857127980839	0.0247729602043221	1902	tags=64%, list=15%, signal=54%	4174/4171/4175/4173/2237/5984/5111/10535/1763/5427/23649/4176/5982/5557/5558/4172/5424/5983/5425/54107/6119
hsa03050	Proteasome	42	0.709192870615249	2.44603641157672	0.00257731958762887	0.0323857127980839	0.0247729602043221	2513	tags=67%, list=20%, signal=53%	5688/5709/5698/5693/3458/5713/11047/5721/5691/5685/5690/5684/5686/5695/10213/23198/7979/5699/5714/5702/5708/5692/5704/5683/5694/5718/51371/5682
hsa04110	Cell cycle	114	0.669220671590664	2.76359605686121	0.00311526479750779	0.0323857127980839	0.0247729602043221	1233	tags=40%, list=10%, signal=37%	8318/991/9133/890/983/4085/7272/1111/891/4174/9232/4171/993/990/5347/701/9700/898/23594/4998/9134/4175/4173/10926/6502/994/699/4609/5111/1869/1029/8317/4176/2810/3066/1871/1031/9088/995/1019/4172/5885/11200/7027/1875/7534
hsa05340	Primary immunodeficiency	34	0.622670554125475	2.05841119290356	0.00242130750605327	0.0323857127980839	0.0247729602043221	1450	tags=41%, list=12%, signal=36%	29851/6890/3932/3561/3575/915/959/925/5788/916/100/7374/6891/930
hsa03008	Ribosome biogenesis in eukaryotes	55	0.572932241750998	2.06498041037393	0.00284900284900285	0.0323857127980839	0.0247729602043221	3995	tags=75%, list=32%, signal=51%	23560/54913/10799/55131/27341/5822/10436/10248/29107/3692/54433/29889/81691/5901/10775/10557/55505/1460/23160/6949/10940/4809/2091/10556/51096/55651/92856/55813/7514/55226/56000/25996/10885/55127/4931/51068/1459/10171/55916/55341/9790
hsa04657	IL-17 signaling pathway	85	0.561464655092481	2.20356633097027	0.00304878048780488	0.0323857127980839	0.0247729602043221	2878	tags=49%, list=23%, signal=38%	4312/6280/6279/6278/3627/2921/6364/8061/4318/3576/3934/6347/727897/1051/6354/3458/6361/6374/2919/9618/5603/7128/1994/7124/3569/8772/5743/7186/3596/6356/5594/4792/9641/1147/2932/6300/5597/27190/1432/7184/64806/3326
hsa05332	Graft-versus-host disease	33	0.548621724288542	1.79359148861806	0.0048780487804878	0.0399229781771502	0.0305384771299237	3743	tags=79%, list=30%, signal=55%	3002/5551/3126/3112/3458/3824/3804/942/940/7124/3569/3119/3135/356/3134/3558/3109/3108/3552/3122/3106/3803/3107/3111/941/3105
hsa01230	Biosynthesis of amino acids	62	0.537690282968551	2.01488404792197	0.00282485875706215	0.0323857127980839	0.0247729602043221	1747	tags=39%, list=14%, signal=33%	29968/26227/875/445/5214/65263/6472/7086/5723/3418/7167/586/2597/5230/2023/5223/5831/6888/50/5315/3419/10993/2805/22934
hsa05330	Allograft rejection	33	0.527684342266727	1.72514157399433	0.0048780487804878	0.0399229781771502	0.0305384771299237	3079	tags=64%, list=25%, signal=48%	3002/5551/3126/3112/3458/959/942/940/7124/3119/3135/356/958/3134/3593/3558/3592/3109/3108/3122/3106
hsa05323	Rheumatoid arthritis	77	0.486903791216689	1.8817229749036	0.003003003003003	0.0323857127980839	0.0247729602043221	1868	tags=36%, list=15%, signal=31%	4312/6364/3576/8792/1493/6352/6347/3126/3112/4050/3458/50617/942/3689/3383/6374/1514/3600/2919/940/7422/533/7124/3569/7097/3119/9296/525
hsa04612	Antigen processing and presentation	63	0.485481036591501	1.81721833750678	0.00285714285714286	0.0323857127980839	0.0247729602043221	3290	tags=59%, list=26%, signal=43%	6890/3823/3126/3112/10437/3806/3458/1520/3824/925/3804/5641/8302/5721/3810/1514/115653/6891/7124/3119/8625/3135/3310/3134/3805/3109/811/2923/3108/3326/1508/3122/3106/926/3309/920/3803
hsa04115	p53 signaling pathway	65	0.479731124737142	1.80041730372589	0.00579710144927536	0.045203488372093	0.034577723378213	1076	tags=25%, list=9%, signal=23%	9133/6241/983/1111/891/51512/898/9134/5268/1029/2810/54205/1019/637/575/11200
hsa04064	NF-kappa B signaling pathway	84	0.467384205916433	1.84033553378901	0.003003003003003	0.0323857127980839	0.0247729602043221	2350	tags=37%, list=19%, signal=30%	597/3576/8792/3932/6351/330/3654/4050/4067/7412/959/5336/3383/23586/3929/7128/5588/6357/929/142/6850/7124/4049/5743/4055/7186/5971/958/1460/4792/7185
hsa04114	Oocyte meiosis	91	0.452904886942698	1.80127295191114	0.00302114803625378	0.0323857127980839	0.0247729602043221	895	tags=21%, list=7%, signal=20%	991/9133/983/4085/51806/6790/891/9232/5347/9700/898/9134/699/26271/114/5499/91860/9088/995
hsa04668	TNF signaling pathway	100	0.43125544395921	1.73458122648995	0.00314465408805031	0.0323857127980839	0.0247729602043221	3077	tags=40%, list=25%, signal=30%	3627/2921/6364/4318/6352/6347/330/1051/7412/3383/6374/3600/2919/10059/5603/7128/468/5604/7124/3569/4049/83737/8772/5743/843/7186/6376/9021/7133/5594/4792/7185/1147/6300/5606/1432/836/1326/64127/8986
hsa05322	Systemic lupus erythematosus	73	0.423262544981626	1.620546062769	0.00581395348837209	0.045203488372093	0.034577723378213	2226	tags=40%, list=18%, signal=33%	713/712/3126/3112/3015/85236/55506/8970/8357/3458/959/6634/92815/942/8336/6632/1991/940/8345/3018/6628/3014/7124/3119/8290/733/958/2215/8335
hsa04620	Toll-like receptor signaling pathway	95	0.421350825693653	1.68108569051666	0.00319488817891374	0.0323857127980839	0.0247729602043221	2818	tags=36%, list=23%, signal=28%	3627/6373/4283/3576/6352/6772/51311/6351/3654/942/7096/6696/3929/5603/929/3452/5604/7124/3569/7097/8772/5605/958/5594/4792/9641/3593/1147/3592/6300/10333/5606/3663/1432
hsa04218	Cellular senescence	143	0.415088762508923	1.78557058261086	0.00323624595469256	0.0323857127980839	0.0247729602043221	1154	tags=17%, list=9%, signal=16%	2305/4605/9133/890/983/51806/1111/891/993/3576/1978/898/9134/4609/1869/1029/22808/3804/1871/5499/91860/292/1019/11200/1875
